District,ANC_Registrations,Total_Deliveries,BCG_Immunisation,Family_Planning,C_Section,Cluster,Cluster_Label
Ariyalur,10337.0,4019810.0,145357.0,2301683.0,5019.0,1,Developing Districts
Chennai,77079.0,23687625.0,308344.0,21953562.0,47233.0,2,High Volume Metro
Coimbatore,45881.0,15036942.0,2834842.0,12183566.0,22119.0,0,Urban Outlier (Coimbatore)
Cuddalore,29708.0,5516799.0,252842.0,13760850.0,14482.0,1,Developing Districts
Dharmapuri,22576.0,8653062.0,308943.0,11029569.0,7546.0,1,Developing Districts
Dindigul,24933.0,7314073.0,257322.0,13527572.0,8259.0,1,Developing Districts
Erode,22121.0,3827804.0,208880.0,9405791.0,14441.0,1,Developing Districts
Kancheepuram,42666.0,9922431.0,260077.0,18888833.0,24158.0,2,High Volume Metro
Kanniyakumari,20833.0,6929692.0,255326.0,2951928.0,13018.0,1,Developing Districts
Karur,11954.0,5084671.0,103732.0,5792036.0,4964.0,1,Developing Districts
Krishnagiri,24997.0,5160675.0,202553.0,4363440.0,9198.0,1,Developing Districts
Madurai,42368.0,17253606.0,173438.0,14699246.0,20438.0,2,High Volume Metro
Nagapattinam,17731.0,5920083.0,205421.0,4075682.0,7441.0,1,Developing Districts
Namakkal,17111.0,4043512.0,140356.0,6132837.0,9548.0,1,Developing Districts
Nilgiris,6509.0,3743088.0,161489.0,3840461.0,1804.0,1,Developing Districts
Perambalur,7864.0,3340122.0,95203.0,4487921.0,4153.0,1,Developing Districts
Pudukkottai,21762.0,8018200.0,423286.0,8123284.0,8145.0,1,Developing Districts
Ramanathapuram,18356.0,3274144.0,185964.0,7880172.0,8363.0,1,Developing Districts
Salem,47090.0,13191984.0,381991.0,12612037.0,17469.0,2,High Volume Metro
Sivaganga,16121.0,5285909.0,101764.0,7343783.0,9270.0,1,Developing Districts
Thanjavur,28407.0,4226105.0,156813.0,10029925.0,20355.0,1,Developing Districts
Theni,14658.0,6013770.0,166680.0,7420738.0,8950.0,1,Developing Districts
Thiruvallur,29124.0,10415059.0,300638.0,1866823.0,8461.0,1,Developing Districts
Thiruvarur,15565.0,6520098.0,111956.0,8756300.0,8384.0,1,Developing Districts
Tiruchirappalli,33325.0,13456281.0,167154.0,4012595.0,15048.0,1,Developing Districts
Tirunelveli,36304.0,37635384.0,283232.0,12275600.0,20655.0,2,High Volume Metro
Tirupur,27678.0,8912475.0,403506.0,5317337.0,11501.0,1,Developing Districts
Tiruvanamalai,31171.0,6770932.0,594240.0,9265099.0,5435.0,1,Developing Districts
Toothukudi,18270.0,2565707.0,207556.0,8882944.0,10530.0,1,Developing Districts
Vellore,49392.0,8420419.0,435060.0,10586264.0,25915.0,2,High Volume Metro
Viluppuram,44510.0,7834392.0,256832.0,15743118.0,16649.0,2,High Volume Metro
Virudhunagar,22462.0,8100410.0,229066.0,9111320.0,12331.0,1,Developing Districts
